Subject,Question,Option A,Option B,Option C,Option D,Answer,Cluster
Chemistry,What is the correct IUPAC name for CH3CH2CH(OH)CH3?,Butan-1-ol,Butan-2-ol,2-hydroxybutane,1-methylpropanol,B,6
Chemistry,Which compound is formed when ethanoic acid reacts with sodium carbonate?,Sodium ethanoate and water,Sodium ethanoate and CO2,Ethanol and CO2,Ethane and water,B,2
Chemistry,What is the common name for the ester formed from ethanoic acid and methanol?,Methyl ethanoate,Ethyl methanoate,Methyl methanoate,Ethyl ethanoate,A,4
Chemistry,Which process converts oils into margarine?,Saponification,Hydrogenation,Polymerization,Esterification,B,4
Chemistry,What is the primary difference between soaps and soapless detergents?,Soaps are synthetic,Soapless detergents do not form scum with hard water,Soaps are made from petrochemicals,Soapless detergents are biodegradable,B,7
Chemistry,Which of these is a natural polymer?,Nylon,Polythene,Polypropene,Starch,D,7
Chemistry,What type of polymerization is used to produce nylon?,Addition polymerization,Condensation polymerization,Chain polymerization,Free-radical polymerization,B,7
Chemistry,Which carbohydrate is known as milk sugar?,Maltose,Sucrose,Lactose,Fructose,C,4
Chemistry,What is the product of the hydrolysis of starch?,Glucose,Fructose,Sucrose,Galactose,A,4
Chemistry,Which test is used to identify proteins with a violet colour change?,Benedict's test,Biuret test,Fehling's test,Iodine test,B,7
Chemistry,What are the building blocks of proteins?,Fatty acids,Monosaccharides,Amino acids,Nucleotides,C,6
Chemistry,Which functional group is characteristic of amines?,–COOH,–OH,–NH2,–CHO,C,6
Chemistry,How are primary amines classified?,R2NH,R3N,RNH2,R4N+,C,6
Chemistry,What is formed when an amide is hydrolyzed with an acid?,Amine and alcohol,Carboxylic acid and ammonia,Ester and water,Aldehyde and ammonia,B,2
Chemistry,Which compound is commonly known as urea?,Ethanamide,Carbamide,Methanamide,Formamide,B,7
Chemistry,What is the molecular formula of the simplest alkyne?,C2H2,C2H4,C2H6,CH4,A,6
Chemistry,Which reagent is used to test for unsaturation in organic compounds?,Litmus paper,Bromine water,Fehling's solution,Benedict's solution,B,7
Chemistry,What is the main component of natural gas?,Ethene,Ethyne,Methane,Propane,C,0
Chemistry,Which hydrocarbon is a major constituent of gasoline?,Benzene,Methane,Ethene,Ethane,A,0
Chemistry,What is the product when ethene undergoes polymerization?,Polythene,Polypropene,Polyvinyl chloride,Polystyrene,A,7
Chemistry,Which compound is responsible for the characteristic odor of rotten fish?,Amines,Amides,Esters,Carboxylic acids,A,7
Chemistry,What is the general formula for a secondary amine?,RNH2,R2NH,R3N,R4N+,B,6
Chemistry,Which alcohol is commonly used in alcoholic beverages?,Methanol,Ethanol,Propanol,Butanol,B,7
Chemistry,What is the functional group in aldehydes?,–OH,–COOH,–CHO,–CO–,C,6
Chemistry,Which compound is used as an antifreeze in car radiators?,Methanol,Ethanol,Propanol,Glycerol,B,7
Chemistry,What is the product of the reaction between ethanol and sodium?,Sodium ethoxide and hydrogen,Sodium ethanoate and hydrogen,Sodium hydroxide and ethane,Sodium chloride and water,A,4
Chemistry,Which acid is present in vinegar?,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid,B,2
Chemistry,What type of isomerism is shown by compounds with the same molecular formula but different functional groups?,Chain isomerism,Positional isomerism,Functional isomerism,Stereoisomerism,C,6
Chemistry,Which of these is an example of a dicarboxylic acid?,Methanoic acid,Ethanoic acid,Oxalic acid,Benzoic acid,C,2
Chemistry,What is the common name for methanoic acid?,Acetic acid,Formic acid,Propionic acid,Butyric acid,B,2
Chemistry,Which polymer is used for making non-stick cookware?,Polythene,Polypropene,Polystyrene,Polytetrafluoroethene,D,7
Chemistry,What is the monomer of natural rubber?,Isoprene,Ethene,Ethyne,Styrene,A,7
Chemistry,Which carbohydrate is a non-reducing sugar?,Glucose,Fructose,Sucrose,Maltose,C,4
Chemistry,What is the product of the fermentation of glucose?,Ethanol and CO2,Methanol and CO2,Ethanoic acid and water,Ethene and water,A,4
Chemistry,Which element is added during vulcanization of rubber?,Carbon,Sulphur,Nitrogen,Oxygen,B,7
Chemistry,What is the primary use of hydrogenation in the food industry?,To make soaps,To produce margarine,To make detergents,To produce ethanol,B,3
Chemistry,Which type of plastic can be remoulded upon heating?,Thermosetting plastic,Thermoplastic,Bakelite,Urea-methanal,B,7
Chemistry,What is the name of the process where large molecules are broken down into smaller ones?,Polymerization,Condensation,Hydrolysis,Hydrogenation,C,4
Chemistry,Which gas is produced when calcium carbide reacts with water?,Methane,Ethene,Ethyne,Carbon dioxide,C,4
Chemistry,What is the structural formula of benzene often represented as?,A straight chain,A ring with alternating double bonds,A tetrahedral structure,A linear chain with triple bonds,B,6
Chemistry,Which compound is used as a solvent for oils and fats?,Water,Benzene,Ethanol,Methanol,B,7
Chemistry,What is the name of the reaction where an alcohol is converted to an alkene?,Esterification,Dehydration,Hydrogenation,Hydrolysis,B,4
Chemistry,Which functional group is present in ketones?,–CHO,–COOH,–OH,–CO–,D,6
Chemistry,What is the product when an aldehyde is oxidized?,Carboxylic acid,Alcohol,Ketone,Ester,A,4
Chemistry,Which compound is used in the manufacture of explosives like TNT?,Benzene,Toluene,Phenol,Nitrobenzene,B,7
Chemistry,What is the product when ethanoic acid reacts with phosphorus pentachloride?,Ethanoyl chloride,Ethanol,Ethene,Ethane,A,2
Chemistry,Which compound is produced when ethanol is oxidized with acidified potassium dichromate?,Ethanal,Ethanoic acid,Ethene,Ethane,B,4
Chemistry,What is the general formula for cycloalkanes?,CnH2n,CnH2n-2,CnH2n+2,CnH2n-6,A,6
Chemistry,Which of these is a characteristic of benzene?,It readily undergoes addition reactions,It burns with a non-sooty flame,It has a structure with alternating double bonds,It is saturated hydrocarbon,C,6
Chemistry,What is the name of the process where alkanes are broken down into smaller molecules?,Polymerization,Cracking,Reforming,Hydrogenation,B,4
Chemistry,Which alcohol is poisonous and can cause blindness?,Ethanol,Propanol,Methanol,Butanol,C,7
Chemistry,What is the functional group in a ketone?,–CHO,–COOH,–OH,–CO–,D,6
Chemistry,Which compound is used as a preservative for biological specimens?,Methanol,Ethanol,Ethanoic acid,Formalin,D,7
Chemistry,What is the product of the reaction between an alkanol and an alkanoic acid?,Ester,Ether,Aldehyde,Ketone,A,4
Chemistry,Which gas is produced when ethanol reacts with sodium?,Hydrogen,Oxygen,Carbon dioxide,Chlorine,A,4
Chemistry,What is the test for a carbonyl group in an aldehyde?,Turns blue litmus red,Forms a silver mirror with Tollens' reagent,Decolorizes bromine water,Produces a violet color with FeCl3,B,6
Chemistry,Which polymer is used for making bottles and containers?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,B,7
Chemistry,What is the monomer unit in PVC?,Ethene,Chloroethene,Ethyne,Propene,B,7
Chemistry,Which carbohydrate gives a blue-black color with iodine solution?,Glucose,Sucrose,Starch,Cellulose,C,7
Chemistry,What is the product of the complete hydrolysis of proteins?,Fatty acids,Amino acids,Monosaccharides,Glycerol,B,4
Chemistry,Which type of isomerism is possible in alkenes but not in alkanes?,Chain isomerism,Positional isomerism,Geometric isomerism,Functional isomerism,C,6
Chemistry,What is the common name for 2-methylpropan-2-ol?,n-butanol,Isobutanol,tert-butanol,Sec-butanol,C,6
Chemistry,Which compound is used in the manufacture of dynamite?,Benzene,Toluene,Glycerol,Phenol,C,7
Chemistry,What is the product when ethene reacts with steam in the presence of a catalyst?,Ethanol,Ethanal,Ethanoic acid,Ethane,A,4
Chemistry,Which reagent is used to convert an aldehyde to a primary alcohol?,Acidified K2Cr2O7,Lithium aluminium hydride,Bromine water,Fehling's solution,B,4
Chemistry,What is the name of the reaction where an ester is formed from an acid and an alcohol?,Esterification,Saponification,Hydrolysis,Hydrogenation,A,4
Chemistry,Which compound is responsible for the smell of oranges?,Esters,Amines,Amides,Carboxylic acids,A,7
Chemistry,What is the general formula for ethers?,ROR',ROH,RCOOH,RNH2,A,6
Chemistry,Which fuel has the highest octane number?,Diesel,Kerosene,Petroleum,CNG,C,0
Chemistry,What is the product when calcium carbide reacts with water?,Ethene,Ethyne,Methane,Ethanol,B,8
Chemistry,Which compound is used as an antifreeze?,Methanol,Ethanol,Glycerol,Ethylene glycol,D,7
Chemistry,What is the name of the process where glucose is converted to ethanol and CO2?,Photosynthesis,Fermentation,Respiration,Distillation,B,4
Chemistry,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,2
Chemistry,What is the functional group in a carboxylic acid?,–OH,–CHO,–COOH,–CO–,C,6
Chemistry,Which compound is used in making smokeless gunpowder?,Cellulose nitrate,Cellulose acetate,Polytheme,Nylon,A,7
Chemistry,What is the product when an alkene reacts with hydrogen in the presence of nickel?,Alkane,Alkyne,Alcohol,Aldehyde,A,4
Chemistry,Which gas is used for ripening fruits artificially?,Ethene,Ethyne,Methane,Carbon dioxide,A,4
Chemistry,What is the name of the process where oils are converted to fats?,Hydrogenation,Saponification,Polymerization,Esterification,A,4
Chemistry,Which compound is used in the manufacture of bakelite?,Formaldehyde,Acetaldehyde,Acetone,Formic acid,A,7
Chemistry,What is the product when an aldehyde is reduced?,Primary alcohol,Secondary alcohol,Carboxylic acid,Ketone,A,4
Chemistry,Which carbohydrate is also known as fruit sugar?,Glucose,Fructose,Galactose,Sucrose,B,4
Chemistry,What is the test for an amino group?,Turns red litmus blue,Forms a precipitate with AgNO3,Decolorizes bromine water,Produces a violet color with ninhydrin,A,6
Chemistry,Which polymer is used for making textiles and ropes?,Polythene,Polypropene,Nylon,Polystyrene,C,7
Chemistry,What is the monomer unit in natural rubber?,Isoprene,Butadiene,Styrene,Chloroethene,A,7
Chemistry,Which compound is used as a solvent for lacquer?,Acetone,Ether,Ethanol,Methanol,A,7
Chemistry,What is the product when an amine reacts with an acid?,Ammonium salt,Amide,Ester,Alcohol,A,2
Chemistry,Which vitamin is fat-soluble?,Vitamin B,Vitamin C,Vitamin A,Vitamin B12,C,7
Chemistry,What is the name of the process where naphtha is converted to gasoline?,Cracking,Reforming,Distillation,Hydrogenation,B,4
Chemistry,Which compound is used in the manufacture of dyes and drugs?,Benzene,Ethane,Ethene,Ethyne,A,7
Chemistry,What is the product when an alkane undergoes complete combustion?,Carbon monoxide and water,Carbon dioxide and water,Carbon and water,Methane and oxygen,B,4
Chemistry,Which carbohydrate is stored in the liver as glycogen?,Glucose,Fructose,Galactose,Sucrose,A,4
Chemistry,What is the test for a double bond in an organic compound?,Turns blue litmus red,Decolorizes bromine water,Forms a silver mirror,Produces a violet color,B,6
Chemistry,Which compound is formed when ethanol is dehydrated with concentrated H2SO4 at 170°C?,Ethene,Ethyne,Ethane,Ethanal,A,4
Chemistry,What is the general molecular formula for alkenes?,CnH2n,CnH2n+2,CnH2n-2,CnH2n-6,A,6
Chemistry,Which reagent is used to test for the presence of a primary alcohol?,Acidified potassium dichromate,Bromine water,Tollens' reagent,Fehling's solution,A,7
Chemistry,What is the product when propanoic acid reacts with ethanol?,Ethyl propanoate,Propyl ethanoate,Methyl propanoate,Propyl methanoate,A,4
Chemistry,Which type of reaction is used to convert an alkene to an alkane?,Hydrogenation,Hydration,Dehydration,Halogenation,A,4
Chemistry,What is the common name for the simplest carboxylic acid?,Acetic acid,Formic acid,Propionic acid,Butyric acid,B,2
Chemistry,Which compound is produced when ethyne is passed through a red-hot iron tube?,Benzene,Ethene,Ethane,Cyclohexane,A,7
Chemistry,What is the functional group present in esters?,-COO-,-COOH,-OH,-CHO,A,6
Chemistry,Which carbohydrate is also known as dextrose?,Fructose,Glucose,Galactose,Sucrose,B,4
Chemistry,What is the product of the reaction between an amine and an acid chloride?,Amide,Amine salt,Ester,Alcohol,A,2
Chemistry,Which polymer is used for making synthetic fibers like polyester?,Polythene,Polypropene,Terylene,Nylon,C,7
Chemistry,What is the test for unsaturation in organic compounds?,Iodine test,Bromine test,Benedict's test,Biuret test,B,7
Chemistry,Which compound is used as a refrigerant and in aerosol propellants?,Chlorofluorocarbons,Hydrocarbons,Alcohols,Ethers,A,7
Chemistry,What is the product when methanol is oxidized with copper catalyst?,Methanal,Methanoic acid,Carbon dioxide,Water,A,4
Chemistry,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,7
Chemistry,What is the name of the process where an alkane is converted to an alkene?,Dehydrogenation,Hydrogenation,Hydration,Dehydration,A,4
Chemistry,Which compound is used in the manufacture of vinegar?,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid,B,7
Chemistry,What is the product when an aldehyde is oxidized with Tollens' reagent?,Carboxylic acid,Silver mirror,Alcohol,Ketone,B,7
Chemistry,Which carbohydrate is a disaccharide made of glucose and fructose?,Maltose,Sucrose,Lactose,Cellulose,B,4
Chemistry,What is the functional group in amides?,-CONH2,-NH2,-COOH,-OH,A,6
Chemistry,Which compound is used as a solvent for fats and oils?,Water,Ethanol,Chloroform,Benzene,D,7
Chemistry,Which polymer is used for making insulation and packaging materials?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,A,7
Chemistry,Which compound is produced when calcium carbonate is heated?,Calcium oxide and CO2,Calcium hydroxide,Calcium carbide,Calcium chloride,A,8
Chemistry,What is the name of the process where an ester is hydrolyzed with an alkali?,Saponification,Esterification,Neutralization,Hydrogenation,A,4
Chemistry,Which vitamin is also known as tocopherol?,Vitamin A,Vitamin B,Vitamin E,Vitamin K,C,7
Chemistry,What is the product when an alkene reacts with water in the presence of acid?,Alcohol,Aldehyde,Carboxylic acid,Ketone,A,2
Chemistry,Which carbohydrate is used as a storage polysaccharide in plants?,Glycogen,Starch,Cellulose,Chitin,B,4
Chemistry,What is the functional group in ethers?,-O-,-OH,-COOH,-CHO,A,6
Chemistry,Which compound is used in the manufacture of soap?,Sodium hydroxide,Potassium hydroxide,Calcium hydroxide,Ammonium hydroxide,A,7
Chemistry,What is the product when an amine reacts with nitrous acid?,Diazonium salt,Amide,Nitro compound,Alcohol,A,2
Chemistry,Which polymer is used for making non-stick coatings?,Polytetrafluoroethylene,Polystyrene,Polypropene,Nylon,A,7
Chemistry,What is the test for the presence of a phenol group?,Neutral FeCl3 test,Bromine test,Tollens' test,Benedict's test,A,6
Chemistry,Which compound is used as an anesthetic in surgery?,Chloroform,Ether,Ethanol,Methanol,A,7
Chemistry,What is the product when an alkyne undergoes complete combustion?,CO2 and H2O,CO and H2O,CO2 and H2,CO and H2,A,4
Chemistry,Which vitamin is synthesized in the skin on exposure to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,7
Chemistry,What is the name of the process where glucose is converted to pyruvate?,Glycolysis,Fermentation,Respiration,Photosynthesis,A,4
Chemistry,Which compound is used as a preservative in food?,Sodium benzoate,Sodium chloride,Sodium bicarbonate,Sodium hydroxide,A,7
Chemistry,What is the product when an alcohol is oxidized with PCC (pyridinium chlorochromate)?,Aldehyde,Carboxylic acid,Ketone,Alkene,A,7
Chemistry,Which carbohydrate is a structural polysaccharide in plants?,Starch,Cellulose,Glycogen,Chitin,B,4
Chemistry,What is the functional group in alkyl halides?,-X (halogen),-OH,-COOH,-NH2,A,6
Chemistry,Which compound is used in the manufacture of explosives?,Nitroglycerin,Glycerol,Ethanol,Methanol,A,7
Chemistry,What is the product when benzene undergoes nitration?,Nitrobenzene,Chlorobenzene,Bromobenzene,Aminobenzene,A,4
Chemistry,Which polymer is used for making rubber tires?,Natural rubber,Polystyrene,Polytheme,Nylon,A,7
Chemistry,What is the test for the presence of an amino acid?,Ninhydrin test,Biuret test,Benedict's test,Tollens' test,A,2
Chemistry,Which compound is used as a solvent in dry cleaning?,Tetrachloroethene,Ethanol,Water,Benzene,A,7
Chemistry,What is the product when an alkene undergoes ozonolysis?,Carbonyl compounds,Alcohols,Carboxylic acids,Alkanes,A,4
Chemistry,What is the definition of an acid according to the document?,A proton acceptor,A substance that produces hydroxonium ions in aqueous solution,A substance that turns red litmus blue,A compound containing oxygen,B,2
Chemistry,Which of the following is an example of an organic acid?,Hydrochloric acid,Trioxonitrate(V) acid,Ethanoic acid,Tetraoxosulphate(VI) acid,C,2
Chemistry,What is the basicity of tetraoxosulphate(VI) acid?,1,2,3,4,B,8
Chemistry,Which physical property is common to all acids?,They turn red litmus blue,They have a bitter taste,They have a sour taste,They are soapy to touch,C,2
Chemistry,What gas is liberated when acids react with most metals?,Carbon dioxide,Oxygen,Hydrogen,Nitrogen,C,2
Chemistry,Which of the following methods can be used to prepare an acid?,Dissolving a basic oxide in water,Combining a metal with water,Dissolving an acid anhydride in water,Heating a carbonate,C,2
Chemistry,What is the pH of a neutral solution?,0,7,14,It depends on the acid,B,2
Chemistry,Which of the following best describes a base?,A substance that produces hydroxide ions in water,A proton donor,A substance that turns blue litmus red,A substance with a pH less than 7,A,6
Chemistry,Which of the following is a strong base?,Calcium hydroxide,Ammonia solution,Sodium hydroxide,Aluminium hydroxide,C,6
Chemistry,Which type of salt is formed when all replaceable hydrogen ions in an acid are replaced by a metal ion?,Acid salt,Basic salt,Normal salt,Double salt,C,5
Chemistry,What is the general formula for an acid salt?,MCO3,MHCO3,M2CO3,MOH,B,5
Chemistry,Which of the following salts is insoluble in water?,Sodium chloride,Potassium nitrate,Ammonium carbonate,Silver chloride,D,5
Chemistry,What process is used to recover a soluble salt that decomposes on heating?,Evaporation to dryness,Decantation,Crystallization,Filtration,C,5
Chemistry,A hydrated salt is one that:,Does not contain water molecules,Contains water of crystallization,Is always deliquescent,Is efflorescent,B,5
Chemistry,What term describes a substance that absorbs moisture from the air and forms a solution?,Efflorescent,Hygroscopic,Deliquescent,Anhydrous,C,7
Chemistry,Which of the following is a crystalline allotrope of carbon?,Charcoal,Coal,Coke,Diamond,D,6
Chemistry,What property of diamond makes it suitable for use in cutting tools?,It is a good conductor of electricity,It is soft and slippery,It is extremely hard,It has a low density,C,1
Chemistry,Why is graphite a good conductor of electricity?,It has a high density,It contains free delocalized electrons,It is transparent,It has a giant ionic structure,B,1
Chemistry,Which of the following is an amorphous form of carbon?,Graphite,Diamond,Lampblack,Fullerene,C,1
Chemistry,What is the main product when carbon burns in excess oxygen?,Carbon monoxide,Carbon dioxide,Water,Hydrogen gas,B,1
Chemistry,Which gas is produced when carbon reduces copper(II) oxide?,Carbon dioxide,Carbon monoxide,Oxygen gas,Hydrogen gas,A,1
Chemistry,How is carbon(IV) oxide typically prepared in the laboratory?,Heating potassium trioxocarbonate(IV),Action of dilute acid on a trioxocarbonate(IV),Heating carbon in air,Burning methane,B,1
Chemistry,Which method is used to collect carbon(IV) oxide gas?,Upward delivery,Downward delivery,Over water,Using a gas syringe,B,1
Chemistry,What is observed when carbon(IV) oxide is bubbled through lime water?,The lime water turns blue,The lime water turns milky,The lime water turns red,The lime water becomes warm,B,1
Chemistry,What is the main use of carbon(IV) oxide in fire extinguishers?,It is flammable,It supports combustion,It is denser than air and does not support combustion,It has a pleasant smell,C,1
Chemistry,How is carbon(II) oxide prepared from methanoic acid?,By dehydration with concentrated H2SO4,By reaction with water,By heating with limestone,By fermentation,A,1
Chemistry,Why is carbon(II) oxide considered dangerous?,It is flammable,It has a pleasant smell,It is poisonous and combines irreversibly with haemoglobin,It is a strong acid,C,1
Chemistry,Which of the following is a use of carbon(II) oxide?,In fire extinguishers,In the extraction of metals,In carbonated drinks,As a refrigerant,B,1
Chemistry,What is the highest grade of coal with the highest carbon content?,Peat,Lignite,Bituminous,Anthracite,D,0
Chemistry,What process is used to obtain various products from coal by heating in the absence of air?,Distillation,Cracking,Destructive distillation,Fractional distillation,C,0
Chemistry,Which of the following is NOT a product of the destructive distillation of coal?,Coal gas,Ammoniacal liquor,Coal tar,Oxygen,D,0
Chemistry,What is the primary use of coke?,As a fuel and reducing agent in metal extraction,In making jewelry,As a fertilizer,In the food industry,A,1
Chemistry,What is producer gas a mixture of?,Carbon monoxide and hydrogen,Carbon monoxide and nitrogen,Methane and hydrogen,Carbon dioxide and nitrogen,B,0
Chemistry,How is water gas produced?,Passing air over red-hot coke,Passing steam over white-hot coke,Heating coal,Distilling crude oil,B,0
Chemistry,What is the main difference between producer gas and water gas?,Producer gas has a higher calorific value,Water gas has a higher calorific value,Producer gas is a mixture of CO and H2,Water gas is a mixture of CO and N2,B,0
Chemistry,What is the chemical formula for trioxocarbonate(IV) acid?,H2CO3,H2CO2,HCO3,H3CO3,A,8
Chemistry,How are soluble trioxocarbonates(IV) like Na2CO3 prepared?,By precipitation,By bubbling CO2 through the corresponding alkali,By direct combination of elements,By heating the metal,B,8
Chemistry,What is the test for a trioxocarbonate(IV) ion?,It turns lime water milky,It gives a white precipitate with silver nitrate,It liberates ammonia when heated,It decolorizes bromine water,A,8
Chemistry,What is the primary source of aliphatic hydrocarbons?,Coal,Natural gas and petroleum,Plants and animals,The atmosphere,B,0
Chemistry,What process is used to separate crude oil into fractions?,Cracking,Reforming,Polymerization,Fractional distillation,D,4
Chemistry,Which petroleum fraction is used as fuel for jet engines?,Petroleum gas,Petrol,Kerosene,Lubricating oil,C,0
Chemistry,What is the purpose of cracking in the petroleum industry?,To separate different fractions,To break down large hydrocarbons into smaller ones,To remove impurities,To combine small hydrocarbons into larger ones,B,3
Chemistry,What is a petrochemical?,A chemical derived from plants,A chemical derived from petroleum,A type of fuel,A type of metal ore,B,3
Chemistry,Which of the following is a heavy chemical?,A perfume,A drug,Sulphuric acid,A pesticide,C,7
