Mathematics,The number 0.00042 can be written in standard form as?,4.2 × 10⁻⁴,4.2 × 10⁻⁵,42 × 10⁻⁶,0.042 × 10⁻³,B
Mathematics,Write 67,500,000 in standard form.,6.75 × 10⁷,6.75 × 10⁶,67.5 × 10⁵,0.675 × 10⁸,A
Mathematics,Convert 0.00083 to standard form.,8.3 × 10⁻⁴,8.3 × 10⁻⁵,83 × 10⁻⁶,0.83 × 10⁻³,A
Mathematics,If log₁₀(2)=0.3010 find log₁₀(40).,1.6020,1.6021,1.6990,1.6025,B
Mathematics,Find the value of log₁₀(0.5).,–0.3010,–1.3010,0.3010,1.3010,A
Mathematics,log₁₀(√100)=?,1,0.5,2,–1,B
Mathematics,If log₁₀(x)=2 find x.,10,100,1000,0.01,B
Mathematics,Find the antilog of 1.6021.,30,40,50,32,B
Mathematics,The value of log₁₀(10)=?,0,1,10,–1,B
Mathematics,Express 0.000096 in standard form.,9.6 × 10⁻⁵,9.6 × 10⁻⁶,0.96 × 10⁻⁴,96 × 10⁻⁷,A
Mathematics,Write 5,430,000 in standard form.,5.43 × 10⁶,5.43 × 10⁵,54.3 × 10⁴,0.543 × 10⁷,A
Mathematics,Find log₁₀(2000).,3.3010,2.3010,1.3010,4.3010,A
Mathematics,What is the result of log₁₀(0.01)?,–2,–1,1,0,A
Mathematics,If log₁₀(3)=0.4771 and log₁₀(5)=0.6990 find log₁₀(15).,1.1761,1.1770,1.1762,1.1772,A
Mathematics,The logarithm of 0.0001 is?,–3,–4,–5,–2,B
Mathematics,If log₁₀(4)=0.6021 and log₁₀(2)=0.3010 find log₁₀(8).,0.9031,0.9030,0.9032,0.9040,A
Mathematics,In standard form 3.15 × 10⁶ represents?,3,150,000,315,000,31,500,000,315,000,000,A
Mathematics,Write 0.00000054 in standard form.,5.4 × 10⁻⁶,5.4 × 10⁻⁷,54 × 10⁻⁸,0.54 × 10⁻⁵,B
Mathematics,If log₁₀(25)=1.3979 find log₁₀(5).,0.6989,0.6990,0.7000,0.6899,A
Mathematics,Find log₁₀(50).,1.6989,1.6990,1.6980,1.6985,A
Mathematics,log₁₀(√10)=?,0.5,1,2,–0.5,A
Mathematics,If log₁₀(6)=0.7782 find log₁₀(60).,1.7782,0.7783,1.7780,1.7882,A
Mathematics,Find the logarithm of 0.0045.,–2.3468,–3.3468,–4.3468,–1.3468,B
Mathematics,Express 0.00507 in standard form.,5.07 × 10⁻³,5.07 × 10⁻⁴,0.507 × 10⁻³,50.7 × 10⁻⁵,B
Mathematics,Find log₁₀(1000) – log₁₀(10).,1,2,0,3,A
Mathematics,The logarithm of 1 is always?,0,1,undefined,negative,A
Mathematics,log₁₀(25) = ?,1.3979,1.3980,1.3989,1.3900,A
Mathematics,Find log₁₀(64) if log₁₀(2)=0.3010.,1.8060,1.8040,1.8061,1.8051,A
Mathematics,Find the value of x if log₁₀(x)=1.3010.,20,200,10,2,B
Mathematics,Find log₁₀(12) if log₁₀(3)=0.4771 and log₁₀(2)=0.3010.,1.0791,1.0792,1.0790,1.0781,A
Mathematics,Find the standard form of 43,000,000.,4.3 × 10⁷,4.3 × 10⁶,43 × 10⁵,0.43 × 10⁸,A
Mathematics,Convert 0.000074 to standard form.,7.4 × 10⁻⁴,7.4 × 10⁻⁵,74 × 10⁻⁶,0.74 × 10⁻³,B
Mathematics,Find log₁₀(9) if log₁₀(3)=0.4771.,0.9542,0.9552,0.9540,0.9530,A
Mathematics,Find log₁₀(2.5).,0.3979,0.3980,0.3960,0.3990,A
Mathematics,If log₁₀(8)=0.9031 find log₁₀(80).,1.9031,1.9041,0.9031,2.9031,A
Mathematics,The antilog of 0 is?,1,10,0,0.1,A
Mathematics,Find antilog(2.6989).,500,200,300,400,A
Mathematics,Write 0.00052 in standard form.,5.2 × 10⁻⁴,5.2 × 10⁻⁵,52 × 10⁻⁶,0.52 × 10⁻³,A
Mathematics,Find log₁₀(32) if log₁₀(2)=0.3010.,1.5050,1.5051,1.5040,1.5060,B
Mathematics,Find the value of log₁₀(4) + log₁₀(25).,1.9999,2.0000,1.9990,2.0010,B
Mathematics,If log₁₀(2)=0.3010 find log₁₀(16).,1.2040,1.2039,1.2050,1.2030,A
Mathematics,Find log₁₀(0.002).,–2.6989,–3.6989,–1.6989,–0.6989,B
Mathematics,Find log₁₀(5) + log₁₀(4).,0.9999,1.0000,0.9990,1.0010,B
Mathematics,Find the number whose logarithm is 2.6021.,400,300,200,250,A
Mathematics,Find log₁₀(45) using log₁₀(9)=0.9542 and log₁₀(5)=0.6990.,1.6532,1.6542,1.6530,1.6531,A
Mathematics,The characteristic of log₁₀(0.007)=?,–3,–2,–1,0,A
Mathematics,Find log₁₀(70) if log₁₀(7)=0.8451.,1.8451,2.8451,0.8450,1.7451,A
Mathematics,Find antilog(1.1761).,15,20,10,25,A
Mathematics,Find log₁₀(2.5 × 10⁴).,4.3979,3.3979,5.3979,2.3979,A
Mathematics,Find the 5th term of an arithmetic progression with first term 3 and common difference 4.,15,17,19,20,B
Mathematics,In an A.P the 7th term is 20 and the 3rd term is 8 find the common difference.,2,3,4,5,C
Mathematics,Find the first term of an A.P whose 5th term is 17 and common difference 3.,2,3,4,5,A
Mathematics,If the first term of an A.P is 5 and common difference is 2 find the 10th term.,22,23,24,25,B
Mathematics,Find the sum of the first 10 terms of an A.P with first term 2 and common difference 3.,145,150,155,160,B
Mathematics,The nth term of an A.P is given by?,a + (n – 1)d,a – (n – 1)d,a × n,a ÷ n,A
Mathematics,The first term of an A.P is 7 and its 4th term is 16 find the common difference.,3,4,5,6,B
Mathematics,Find the sum of the first 20 terms of an A.P whose first term is 5 and common difference 2.,380,400,420,440,B
Mathematics,Find the number of terms in the A.P 3,7,11,…,99.,23,24,25,26,C
Mathematics,Find the 12th term of an A.P with a=10 and d=5.,65,70,75,80,B
Mathematics,If the sum of n terms of an A.P is 5n² + 3n find its first term.,8,5,3,7,C
Mathematics,Find the common difference of an A.P whose 5th term is 15 and 10th term is 30.,2,3,4,5,C
Mathematics,The 8th term of an A.P is 24 and the 2nd term is 12 find the first term.,0,1,2,3,B
Mathematics,Find the sum of first 15 terms of an A.P whose first term is 4 and common difference 3.,330,345,360,375,B
Mathematics,The 20th term of an A.P is 78 and the 5th term is 33 find the common difference.,3,3.5,4,4.5,C
Mathematics,If the 3rd term of an A.P is 9 and the 8th term is 24 find the first term.,0,1,2,3,B
Mathematics,The sum of the first 5 terms of an A.P is 75 find the mean of the series.,12,13,14,15,D
Mathematics,If a=2 and d=3 find the 9th term of the A.P.,26,27,28,29,B
Mathematics,Find the sum of the first 6 terms of the A.P 2,5,8,11,….,99,102,108,111,C
Mathematics,The difference between successive terms in an arithmetic sequence is called?,Difference,Common difference,Gap,Interval,B
Mathematics,Find the 50th term of an A.P whose first term is 3 and common difference 2.,99,100,101,102,A
Mathematics,Find the 8th term of an A.P if the first term is –3 and common difference 5.,27,32,33,35,B
Mathematics,If the 1st term is 5 and 10th term is 50 find the common difference.,4,5,6,7,A
Mathematics,The sum of n terms of an A.P is 3n² + 2n find the 5th term.,30,31,32,33,C
Mathematics,Find the arithmetic mean between 12 and 28.,18,19,20,21,C
Mathematics,If the 6th term of an A.P is 14 and the 10th term is 26 find the common difference.,3,3.5,4,4.5,B
Mathematics,The nth term of an A.P is 2n + 3 find the first term.,3,4,5,6,B
Mathematics,Find the sum of the first 4 terms of an A.P whose nth term is 3n + 2.,38,39,40,41,C
Mathematics,The 9th term of an A.P is 23 and the 3rd term is 11 find the common difference.,1,2,3,4,B
Mathematics,Find the first term of an A.P whose 10th term is 45 and common difference is 5.,0,1,2,3,A
Mathematics,The sum of n terms of an A.P is given by?,S = n/2(2a + (n – 1)d),S = a + (n – 1)d,S = n(a + d),S = a × n,A
Mathematics,Find the number of terms in the A.P 2,5,8,…,50.,15,16,17,18,B
Mathematics,If the first term is 4 and common difference is 6 find the 11th term.,60,64,66,70,B
Mathematics,Find the 20th term of an A.P whose first term is 2 and common difference is 3.,59,60,61,62,B
Mathematics,The 5th term of an A.P is 17 and the 10th term is 32 find the 7th term.,23,24,25,26,B
Mathematics,The average of first and last term in an A.P equals?,Common difference,Arithmetic mean,Half sum,Middle term,B
Mathematics,If the sum of n terms of an A.P is 4n² + n find its 4th term.,16,17,18,19,C
Mathematics,If an A.P has a=7 and d=2 find the 15th term.,34,35,36,37,B
Mathematics,Find the 3rd term of an A.P whose first term is –5 and common difference is 4.,1,2,3,4,B
Mathematics,Find the 9th term of the sequence 2,4,6,8,….,18,19,20,21,C
Mathematics,The 6th term of an A.P is 20 and the 2nd term is 8 find d.,2,3,4,5,C
Mathematics,If the nth term of an A.P is 5n + 1 find its 8th term.,40,41,42,43,B
Mathematics,Find the sum of the first 7 terms of an A.P with a=4 and d=3.,73,74,75,76,C
Mathematics,The 4th term of an A.P is 14 and the 8th term is 26 find d.,2,3,4,5,B
Mathematics,Find the 15th term of an A.P with a=2 and d=5.,72,73,74,75,B
Mathematics,The 12th term of an A.P is 35 and the 3rd term is 8 find d.,3,4,5,6,C
Mathematics,Find the 20th term of an A.P whose 4th term is 15 and common difference is 3.,60,61,62,63,A
Mathematics,If a=10 and d=5 find the 6th term of the A.P.,30,31,32,33,A
Mathematics,Find the sum of first 5 terms of an A.P with a=3 and d=2.,25,26,27,28,B
Mathematics,Find the 10th term of an A.P with a=4 and d=6.,58,60,62,64,B
Mathematics,The nth term of an A.P is 7n – 2 find t₁₀.,65,67,68,69,B
Mathematics,What is the common ratio of the GP 5,10,20,40?,2,3,4,5,A
Mathematics,Find the 6th term of a GP with first term 3 and ratio 2.,96,192,48,384,A
Mathematics,If a GP has a=8 and r=1/2 what is the 4th term?,1,1.0,1.0,1.0,A
Mathematics,The nth term of a GP is given by?,ar^(n-1),a + (n-1)r,a × n,a ÷ n,A
Mathematics,Find the sum of first 5 terms of GP 2,6,18,..., using formula.,242,242,242,242,B
Mathematics,What is the common ratio of the sequence 81,27,9,3?,1/3,1/2,1/4,1/5,A
Mathematics,Find the 4th term of GP with a=4 and r=3.,108,36,12,324,A
Mathematics,If first term is 16 and r=1/2 find the 5th term.,1,2,0.5,4,A
Mathematics,Sum to infinity exists for a GP when?,|r|<1,|r|>1,r=1,r=0,A
Mathematics,Sum to infinity of GP with a=5 and r=1/3 is?,7.5,7.5,7.5,7.5,A
Mathematics,Find the sum of first 6 terms of GP 1,2,4,8,..., using formula.,127,126,64,63,B
Mathematics,If a GP has terms a and ar the geometric mean between them is?,√(a×ar),a+r,(a+ar)/2,(a×r)/2,A
Mathematics,Find r if the first three terms of a GP are 2,6,18.,3,4,2,6,A
Mathematics,If the 3rd term of a GP is 50 and r=5 find the first term.,2,0.2,10,5,C
Mathematics,The sum of a GP a + ar + ar^2 ... + ar^(n-1) equals?,a(1-r^n)/(1-r) for r≠1,a(1+r^n)/(1-r),a(1-r^n)/(1+r),a(r^n-1)/(r-1),A
Mathematics,Find r if the 2nd term is 12 and first term is 3 in a GP.,4,3,2,6,A
Mathematics,If a=7 and r=2 what is the 8th term?,896,896,896,896,A
Mathematics,Find the geometric mean of 4 and 36.,12,8,24,6,D
Mathematics,In a GP if r=0.5 and a=32 the sum to infinity is?,64,48,32,16,A
Mathematics,If the 4th term is 81 and r=3 find the first term.,1,3,9,27,C
Mathematics,Find the sum of first 4 terms of GP 3,9,27,81.,120,120,120,120,B
Mathematics,If GP has a=81 and r=1/3 find the 3rd term.,9,3,1,27,A
Mathematics,Which of the following is not a GP?,2,4,8,12,D
Mathematics,If a GP has r=-2 and a=1 find the 3rd term.,4,-4,2,-2,A
Mathematics,Find r if first term is 4 and 5th term is 256 in GP.,4,3,2,5,A
Mathematics,Sum of first n terms of GP with r>1 equals?,a(r^n-1)/(r-1),a(1-r^n)/(1-r),a(n)(r),a+n,A
Mathematics,Find the 7th term of GP with a=2 and r=3.,1458,1458,1458,1458,A
Mathematics,If three numbers x,y,z are consecutive in GP then y^2 equals?,xz,x+z,xz+1,xz-1,A
Mathematics,Find the first term if GP has r=2 and 6th term is 64.,2,1,4,8,B
Mathematics,Sum to infinity of GP 5, -5/2, 25/4,... does it exist?,No,Yes,Only if finite,Depends on sign,A
Mathematics,If a GP has a=0.5 and r=2 find the 4th term.,4,2,1,8,A
Mathematics,Find r if terms are 8, 4, 2,..., in GP.,1/2,2,4,1/4,A
Mathematics,The product of first n terms of a GP with first term a and ratio r equals?,a^n r^{n(n-1)/2},a r^n,a^n r^n,a^{n-1} r^{n/2},A
Mathematics,If terms are in GP 2, x, 18 find x.,6,9,12,8,B
Mathematics,For GP 1, -2,4,-8,... the common ratio is?,-2,2,-1/2,-3,A
Mathematics,Find the sum of GP 6 + 18 + 54 up to 4 terms.,246,162,234,324,A
Mathematics,If a GP has r=1 find the sum of first n terms equals?,na,0,a^n,1,A
Mathematics,Given GP where a=3 and sum to infinity is 6 find r.,1/2,1/3,2/3,1/4,A
Mathematics,Find the 5th term of GP with a=81 and r=1/3.,1,3,9,27,A
Mathematics,If GP terms are in ratio 1:2:4 find the 4th term if first is 5.,40,20,10,80,A
Mathematics,If second term is 10 and r=2 find first term.,5,20,2,8,A
Mathematics,Which GP has sum to infinity equal to 9 with a=6 find r.,1/3,1/2,1/4,2/3,A
Mathematics,Find r if a=2 and sum of first 3 terms is 14.,2,3,4,5,B
Mathematics,If the 2nd and 4th terms of a GP are 8 and 32 respectively find r.,2,4,1/2,3,A
Mathematics,Find the geometric mean between 2 and 32.,8,4,16,6,A
Mathematics,If GP has a=10 and r=-1 find the first 3 terms.,10,-10,10, -10,B
Mathematics,Find the sum of GP 5 + 15 + 45 + ... up to 3 terms.,65,75,45,35,B
Mathematics,For GP with a=2 and r=0.5 find sum to infinity.,4,2,1,8,A
Mathematics,Find the roots of x² – 5x + 6 = 0.,2 and 3,1 and 6,–2 and –3,–1 and –6,A
Mathematics,The discriminant of x² + 4x + 4 = 0 is?,0,4,8,16,A
Mathematics,If roots of ax² + bx + c = 0 are equal then?,b² = 4ac,b² < 4ac,b² > 4ac,a=0,A
Mathematics,Find the roots of x² + 7x + 10 = 0.,–5 and –2,5 and 2,–1 and –10,1 and 10,A
Mathematics,The sum of roots of 2x² + 3x – 5 = 0 is?,–3/2,3/2,5/2,–5/2,A
Mathematics,If x=3 and x=–2 are roots find the equation.,x² – x – 6 = 0,x² + x – 6 = 0,x² – x + 6 = 0,x² + x + 6 = 0,B
Mathematics,Find the product of roots of 3x² + 5x – 2 = 0.,–2/3,2/3,3/2,–3/2,A
Mathematics,Solve x² – 2x – 15 = 0.,5 and –3,–5 and 3,–3 and –5,3 and 5,A
Mathematics,Find roots of x² – 9 = 0.,3 and –3,0 and 9,–9 and 9,–3 and 3,A
Mathematics,If sum of roots = –b/a then for x² + 2x + 1 = 0 sum is?,–2,2,1,–1,A
Mathematics,For 4x² – 4x + 1 = 0 the nature of roots is?,Equal real roots,Distinct real roots,Complex roots,Rational roots,A
Mathematics,Find the roots of x² – 4x + 3 = 0.,1 and 3,3 and 4,2 and 3,1 and 2,C
Mathematics,Find discriminant of x² + 6x + 9 = 0.,0,9,18,36,A
Mathematics,If b² – 4ac < 0 the roots are?,Real and equal,Real and distinct,Imaginary,Zero,C
Mathematics,Solve 2x² – 3x – 5 = 0.,2.5 and –1,–2.5 and 1,1.25 and –2,–1.25 and 2,A
Mathematics,The roots of x² + 5x + 6 = 0 are?,–3 and –2,3 and 2,–6 and 1,6 and –1,A
Mathematics,Find sum of roots of x² – 7x + 10 = 0.,7,–7,–10,10,A
Mathematics,If roots of x² – 4x + 4 = 0 are equal then their value is?,2,–2,4,–4,A
Mathematics,Solve x² + 3x – 18 = 0.,3 and –6,6 and –3,9 and –2,–9 and 2,A
Mathematics,Find the product of roots of 2x² – 7x + 3 = 0.,3/2,–3/2,2/3,–2/3,A
Mathematics,If roots are 2 and 5 form the quadratic equation.,x² – 7x + 10 = 0,x² + 7x + 10 = 0,x² – 5x + 7 = 0,x² + 5x + 7 = 0,A
Mathematics,Find roots of x² + 2x – 8 = 0.,–4 and 2,4 and –2,8 and –1,–8 and 1,A
Mathematics,If x=–1 and x=–3 are roots the equation is?,x² + 4x + 3 = 0,x² – 4x + 3 = 0,x² + 4x – 3 = 0,x² – 4x – 3 = 0,A
Mathematics,The roots of 5x² + 3x – 2 = 0 are?,2/5 and –1,1/5 and –2/5,2 and –1/5,1 and –2,A
Mathematics,Find roots of x² – x – 6 = 0.,3 and –2,–3 and 2,–2 and –3,2 and 3,A
Mathematics,Find discriminant of 3x² + 2x + 1 = 0.,–8,–4,4,0,A
Mathematics,If b² – 4ac = 0 then the graph of quadratic touches the x-axis?,Once,Twice,Never,Thrice,A
Mathematics,Solve 3x² – 12x + 9 = 0.,1 and 3,2 and 3,4 and 3,–1 and –3,B
Mathematics,Find roots of x² + 10x + 25 = 0.,–5 and –5,5 and 5,–10 and –15,–2 and –8,A
Mathematics,The discriminant of x² + 2x + 5 = 0 is?,–16,16,–4,4,A
Mathematics,If roots are complex they occur in?,Pairs,Singles,Triples,Real numbers,A
Mathematics,Find the sum of roots of 3x² – 8x + 4 = 0.,8/3,–8/3,–4/3,4/3,A
Mathematics,Find product of roots of 4x² – 12x + 9 = 0.,9/4,–9/4,4/9,–4/9,A
Mathematics,Find roots of x² + 7x + 12 = 0.,–3 and –4,3 and 4,4 and –3,–4 and –3,A
Mathematics,Solve x² – 8x + 16 = 0.,4,–4,8,–8,A
Mathematics,Find roots of 2x² + x – 6 = 0.,1.5 and –2,–1.5 and 2,2 and –1.5,–2 and 1.5,A
Mathematics,Find the quadratic equation with roots 3 and –2.,x² – x – 6 = 0,x² + x – 6 = 0,x² – x + 6 = 0,x² + x + 6 = 0,B
Mathematics,The sum and product of roots of x² – 5x + 4 = 0 are?,5 and 4,–5 and –4,4 and 5,–4 and –5,A
Mathematics,The discriminant determines?,Nature of roots,Size of x,Value of a,Value of c,A
Mathematics,Solve 2x² + 3x – 9 = 0.,1.5 and –3,–1.5 and 3,3 and 1.5,–3 and –1.5,B
Mathematics,Find the roots of x² – 11x + 18 = 0.,9 and 2,6 and 3,7 and 4,5 and 6,A
Mathematics,The quadratic x² – 16 = 0 has roots?,±4,4,–4,0,A
Mathematics,The product of roots of x² + 5x + 6 = 0 equals?,6,5,11,30,A
Mathematics,Solve x² – 6x + 8 = 0.,4 and 2,–4 and –2,8 and 1,2 and 6,A
Mathematics,The discriminant of 5x² + 6x + 1 = 0 is?,16,11,6,36,A
Mathematics,Find sum of roots of x² + 9x + 18 = 0.,–9,9,18,–18,A
Mathematics,Find product of roots of x² + 9x + 18 = 0.,18,9,–18,–9,A
Mathematics,Solve 2x² – x – 3 = 0.,1.5 and –1,–1.5 and 1,–3 and 2,3 and –2,B
Mathematics,If one root of x² – 5x + k = 0 is 2 find k.,6,7,8,9,B
Mathematics,Find roots of 4x² + 4x + 1 = 0.,–0.5 and –0.5,0.5 and 0.5,–1 and –1,1 and 1,A
Mathematics,Solve the simultaneous equations: 2x + y = 7 and x – y = 1.,x=2,y=3,x=3,y=1,x=4,y=–1,x=2,y=2,A
Mathematics,Solve for x and y: 3x + 2y = 12 and x – y = 1.,x=2,y=1,x=3,y=2,x=4,y=3,x=2,y=2,B
Mathematics,Find x and y if x + y = 10 and x – y = 2.,x=6,y=4,x=5,y=5,x=4,y=6,x=8,y=2,A
Mathematics,Solve: 2x + 3y = 12 and x – y = 1.,x=3,y=2,x=2,y=3,x=4,y=1,x=1,y=4,A
Mathematics,If 4x – y = 7 and 2x + y = 9 find x.,x=2,y=5,x=3,y=3,x=4,y=1,x=4,y=5,B
Mathematics,Find x if x + 2y = 8 and 3x – y = 7.,x=3,y=2,x=2,y=3,x=4,y=2,x=5,y=1,C
Mathematics,Solve for x: 5x + y = 10 and 2x – y = 4.,x=2,y=0,x=3,y=–5,x=2,y=2,x=4,y=–10,B
Mathematics,Find y given 2x + y = 9 and 3x – y = 6.,x=3,y=3,x=2,y=5,x=4,y=1,x=5,y=–6,A
Mathematics,Solve: 3x – 2y = 4 and 2x + y = 11.,x=3,y=5,x=2,y=3,x=5,y=2,x=4,y=1,A
Mathematics,Solve for x and y: x + y = 6 and 2x – y = 3.,x=3,y=3,x=2,y=4,x=4,y=2,x=5,y=1,A
Mathematics,Find x if 4x + y = 10 and 2x – y = 2.,x=2,y=2,x=3,y=–2,x=2,y=3,x=4,y=–1,B
Mathematics,Solve 2x + y = 5 and 3x – 2y = 4.,x=2,y=1,x=1,y=2,x=3,y=–1,x=2,y=0,A
Mathematics,If 5x + 2y = 20 and x – y = 2 find x.,x=4,y=2,x=3,y=1,x=6,y=2,x=5,y=3,D
Mathematics,Find x from 4x – y = 11 and 3x + y = 9.,x=2,y=3,x=4,y=1,x=3,y=0,x=4,y=–3,B
Mathematics,The solution of x + y = 9 and 2x – y = 3 is?,x=4,y=5,x=3,y=6,x=5,y=4,x=6,y=3,A
Mathematics,Solve for y if x + 3y = 12 and 2x – y = 3.,x=3,y=3,x=2,y=4,x=3,y=2,x=4,y=2,A
Mathematics,Solve for x,y: 3x – y = 5 and 2x + y = 11.,x=3,y=5,x=4,y=3,x=2,y=5,x=5,y=2,B
Mathematics,Find x and y: 2x + y = 7 and 4x – y = 5.,x=2,y=3,x=3,y=1,x=4,y=2,x=2,y=1,A
Mathematics,If x – y = 1 and x + y = 5 find x.,x=3,y=2,x=2,y=3,x=4,y=1,x=1,y=4,A
Mathematics,Find x,y satisfying 3x + y = 10 and 2x – y = 1.,x=2,y=3,x=3,y=1,x=4,y=2,x=3,y=2,C
Mathematics,Solve for x,y: 5x + y = 14 and 3x – y = 4.,x=2,y=4,x=3,y=2,x=4,y=–1,x=3,y=–1,B
